GID1	GID2	EH23_Early_Flower	EH23_Foliage	EH23_Foliage_12light	EH23_Late_Flower	EH23_Roots	EH23_Shoottips
EH23a.chr1.v1.g001670.t1	EH23b.chr1.v1.g001480.t1	C	C	C	C	C	C
EH23a.chr1.v1.g001690.t1	EH23b.chr1.v1.g001500.t1	C	C	C	C	C	C
EH23a.chr1.v1.g001700.t1	EH23b.chr1.v1.g001510.t1	C	C	C	C	C	C
EH23a.chr1.v1.g001730.t1	EH23b.chr1.v1.g001530.t1	C	C	C	C	C	C
EH23a.chr1.v1.g001740.t1	EH23b.chr1.v1.g001540.t1	C	C	C	C	B	C
EH23a.chr1.v1.g001750.t1	EH23b.chr1.v1.g001570.t1	C	C	C	C	C	B
EH23a.chr1.v1.g001760.t1	EH23b.chr1.v1.g001580.t1	C	C	C	C	C	C
EH23a.chr1.v1.g001770.t1	EH23b.chr1.v1.g001590.t1	C	B	C	C	B	C
EH23a.chr1.v1.g001780.t1	EH23b.chr1.v1.g001600.t1	C	C	C	C	C	C
EH23a.chr1.v1.g001790.t1	EH23b.chr1.v1.g001610.t1	C	C	C	C	C	C
EH23a.chr1.v1.g001800.t1	EH23b.chr1.v1.g001620.t1	C	C	B	C	C	C
EH23a.chr1.v1.g001810.t1	EH23b.chr1.v1.g001630.t1	C	C	C	C	C	C
EH23a.chr1.v1.g001820.t1	EH23b.chr1.v1.g001640.t1	C	C	C	C	C	C
EH23a.chr1.v1.g001830.t1	EH23b.chr1.v1.g001650.t1	C	C	C	C	C	C
EH23a.chr1.v1.g001840.t1	EH23b.chr1.v1.g001660.t1	C	C	C	C	C	C
EH23a.chr1.v1.g001850.t1	EH23b.chr1.v1.g001670.t1	C	C	C	C	C	C
EH23a.chr1.v1.g001860.t1	EH23b.chr1.v1.g001680.t1	C	C	C	C	C	C
EH23a.chr1.v1.g001870.t1	EH23b.chr1.v1.g001690.t1	C	C	C	C	C	C
EH23a.chr1.v1.g001880.t1	EH23b.chr1.v1.g001700.t1	C	C	C	C	C	C
EH23a.chr1.v1.g001890.t1	EH23b.chr1.v1.g001710.t1	C	C	C	C	C	C
EH23a.chr1.v1.g001900.t1	EH23b.chr1.v1.g001720.t1	C	C	C	C	C	C
EH23a.chr1.v1.g001910.t1	EH23b.chr1.v1.g001740.t1	C	C	C	C	C	C
EH23a.chr1.v1.g001920.t1	EH23b.chr1.v1.g001750.t1	C	C	C	C	C	C
EH23a.chr1.v1.g001930.t1	EH23b.chr1.v1.g001760.t1	C	C	C	C	C	C
EH23a.chr1.v1.g001940.t1	EH23b.chr1.v1.g001770.t1	C	C	C	C	C	C
EH23a.chr1.v1.g001970.t1	EH23b.chr1.v1.g001800.t1	C	C	C	C	C	C
EH23a.chr1.v1.g001980.t1	EH23b.chr1.v1.g001810.t1	C	C	C	C	C	C
EH23a.chr1.v1.g001990.t1	EH23b.chr1.v1.g001820.t1	C	C	C	C	C	C
EH23a.chr1.v1.g002010.t1	EH23b.chr1.v1.g001870.t1	C	C	C	C	C	C
EH23a.chr1.v1.g002020.t1	EH23b.chr1.v1.g001880.t1	C	C	C	C	C	C
EH23a.chr1.v1.g002030.t1	EH23b.chr1.v1.g001890.t1	C	C	C	C	C	C
EH23a.chr1.v1.g002040.t1	EH23b.chr1.v1.g001900.t1	C	C	C	C	C	C
EH23a.chr1.v1.g002050.t1	EH23b.chr1.v1.g001910.t1	C	C	A	C	C	C
EH23a.chr1.v1.g002060.t1	EH23b.chr1.v1.g001920.t1	C	C	C	C	C	C
EH23a.chr1.v1.g002070.t1	EH23b.chr1.v1.g001930.t1	C	C	C	C	C	C
EH23a.chr1.v1.g002080.t1	EH23b.chr1.v1.g001940.t1	C	C	C	C	C	C
EH23a.chr1.v1.g002090.t1	EH23b.chr1.v1.g001950.t1	A	A	A	C	A	A
EH23a.chr1.v1.g002100.t1	EH23b.chr1.v1.g001960.t1	C	C	C	C	C	C
EH23a.chr1.v1.g002110.t1	EH23b.chr1.v1.g001970.t1	C	B	C	C	B	B
EH23a.chr1.v1.g002120.t1	EH23b.chr1.v1.g001980.t1	C	C	C	C	C	C
EH23a.chr1.v1.g002130.t1	EH23b.chr1.v1.g001990.t1	C	C	C	C	C	C
EH23a.chr1.v1.g002140.t1	EH23b.chr1.v1.g002000.t1	C	C	C	C	C	C
EH23a.chr1.v1.g002150.t1	EH23b.chr1.v1.g002010.t1	C	C	C	C	C	A
EH23a.chr1.v1.g002160.t1	EH23b.chr1.v1.g002020.t1	C	C	C	C	C	C
EH23a.chr1.v1.g002170.t1	EH23b.chr1.v1.g002030.t1	C	C	C	C	C	C
EH23a.chr1.v1.g002180.t1	EH23b.chr1.v1.g002040.t1	C	C	C	C	C	C
EH23a.chr1.v1.g002190.t1	EH23b.chr1.v1.g002050.t1	C	C	C	C	C	C
EH23a.chr1.v1.g002210.t1	EH23b.chr1.v1.g002070.t1	C	C	C	C	C	C
EH23a.chr1.v1.g002210.t2	EH23b.chr1.v1.g002070.t2	C	C	C	C	C	C
EH23a.chr1.v1.g002230.t1	EH23b.chr1.v1.g002090.t1	C	C	C	C	C	C
EH23a.chr1.v1.g002240.t1	EH23b.chr1.v1.g002100.t1	C	C	C	C	C	C
EH23a.chr1.v1.g002250.t1	EH23b.chr1.v1.g002110.t1	C	C	C	C	C	C
EH23a.chr1.v1.g002260.t1	EH23b.chr1.v1.g002120.t1	C	C	C	C	C	C
EH23a.chr1.v1.g002290.t1	EH23b.chr1.v1.g002130.t1	C	C	C	C	C	C
EH23a.chr1.v1.g002300.t1	EH23b.chr1.v1.g002140.t1	C	C	C	C	C	C
EH23a.chr1.v1.g002310.t1	EH23b.chr1.v1.g002150.t1	C	C	C	C	C	C
EH23a.chr1.v1.g002330.t1	EH23b.chr1.v1.g002170.t1	C	C	C	A	C	C
EH23a.chr1.v1.g002350.t1	EH23b.chr1.v1.g002180.t1	C	C	C	C	C	C
EH23a.chr1.v1.g002360.t1	EH23b.chr1.v1.g002190.t1	C	C	C	C	C	C
EH23a.chr1.v1.g002370.t1	EH23b.chr1.v1.g002200.t1	C	C	C	C	C	C
EH23a.chr1.v1.g002380.t1	EH23b.chr1.v1.g002210.t1	C	C	C	C	C	C
EH23a.chr1.v1.g002390.t1	EH23b.chr1.v1.g002220.t1	C	C	C	C	C	C
EH23a.chr1.v1.g002400.t1	EH23b.chr1.v1.g002230.t1	C	C	C	C	C	C
EH23a.chr1.v1.g002430.t1	EH23b.chr1.v1.g002260.t1	C	C	C	C	C	C
EH23a.chr1.v1.g002440.t1	EH23b.chr1.v1.g002270.t1	A	A	A	A	C	A
EH23a.chr1.v1.g002470.t1	EH23b.chr1.v1.g002300.t1	C	C	C	C	C	C
EH23a.chr1.v1.g002480.t1	EH23b.chr1.v1.g002310.t1	C	C	C	C	C	C
EH23a.chr1.v1.g002490.t1	EH23b.chr1.v1.g002320.t1	C	A	A	C	C	C
EH23a.chr1.v1.g002500.t1	EH23b.chr1.v1.g002340.t1	C	C	C	A	C	C
EH23a.chr1.v1.g002540.t1	EH23b.chr1.v1.g002380.t1	A	A	C	C	C	A
EH23a.chr1.v1.g002560.t1	EH23b.chr1.v1.g002400.t1	C	C	C	C	C	C
EH23a.chr1.v1.g002570.t1	EH23b.chr1.v1.g002410.t1	C	C	C	C	C	C
EH23a.chr1.v1.g002580.t1	EH23b.chr1.v1.g002420.t1	A	A	A	A	A	A
EH23a.chr1.v1.g002590.t1	EH23b.chr1.v1.g002430.t1	C	C	C	C	C	C
EH23a.chr1.v1.g002600.t1	EH23b.chr1.v1.g002440.t1	B	B	B	B	C	B
EH23a.chr1.v1.g002620.t1	EH23b.chr1.v1.g002460.t1	A	A	C	C	C	C
EH23a.chr1.v1.g002630.t1	EH23b.chr1.v1.g002470.t1	C	C	C	C	C	C
EH23a.chr1.v1.g002650.t2	EH23b.chr1.v1.g002490.t2	C	C	C	C	C	C
EH23a.chr1.v1.g002660.t1	EH23b.chr1.v1.g002500.t1	C	C	C	C	C	C
EH23a.chr1.v1.g002670.t1	EH23b.chr1.v1.g002510.t1	C	C	C	C	C	C
EH23a.chr1.v1.g002680.t1	EH23b.chr1.v1.g002520.t1	C	C	C	C	C	C
EH23a.chr1.v1.g002690.t1	EH23b.chr1.v1.g002530.t1	C	C	C	C	C	C
EH23a.chr1.v1.g002700.t1	EH23b.chr1.v1.g002540.t1	C	C	C	C	C	C
EH23a.chr1.v1.g002710.t1	EH23b.chr1.v1.g002550.t1	C	C	C	C	C	C
EH23a.chr1.v1.g002720.t1	EH23b.chr1.v1.g002560.t1	C	C	C	C	C	C
EH23a.chr1.v1.g002740.t1	EH23b.chr1.v1.g002590.t1	C	C	C	C	C	C
EH23a.chr1.v1.g002760.t1	EH23b.chr1.v1.g002610.t1	C	A	C	B	C	A
EH23a.chr1.v1.g002770.t1	EH23b.chr1.v1.g002620.t1	C	B	C	B	B	C
EH23a.chr1.v1.g002780.t1	EH23b.chr1.v1.g002630.t1	C	C	C	B	A	C
EH23a.chr1.v1.g002790.t1	EH23b.chr1.v1.g002640.t1	C	C	C	C	C	C
EH23a.chr1.v1.g002800.t1	EH23b.chr1.v1.g002650.t1	C	C	C	C	C	C
EH23a.chr1.v1.g002810.t1	EH23b.chr1.v1.g002660.t1	C	C	C	C	C	C
EH23a.chr1.v1.g002830.t2	EH23b.chr1.v1.g002680.t2	C	C	C	C	C	C
EH23a.chr1.v1.g002830.t1	EH23b.chr1.v1.g002680.t1	C	C	C	C	C	C
EH23a.chr1.v1.g002840.t1	EH23b.chr1.v1.g002690.t1	C	C	A	A	C	C
EH23a.chr1.v1.g002850.t1	EH23b.chr1.v1.g002700.t1	C	C	C	C	C	C
EH23a.chr1.v1.g002860.t1	EH23b.chr1.v1.g002710.t1	C	C	C	C	C	C
EH23a.chr1.v1.g002870.t1	EH23b.chr1.v1.g002720.t1	C	C	C	C	C	C
EH23a.chr1.v1.g002880.t1	EH23b.chr1.v1.g002730.t1	C	C	C	C	C	C
EH23a.chr1.v1.g002900.t1	EH23b.chr1.v1.g002750.t1	C	C	C	C	C	C
EH23a.chr1.v1.g002910.t1	EH23b.chr1.v1.g002760.t1	C	C	C	C	C	C
EH23a.chr1.v1.g002920.t1	EH23b.chr1.v1.g002770.t1	C	C	C	C	C	C
EH23a.chr1.v1.g002930.t1	EH23b.chr1.v1.g002780.t1	C	C	C	C	C	C
EH23a.chr1.v1.g002940.t1	EH23b.chr1.v1.g002790.t1	A	A	A	A	C	A
EH23a.chr1.v1.g002950.t1	EH23b.chr1.v1.g002800.t1	B	C	C	B	C	C
EH23a.chr1.v1.g002960.t1	EH23b.chr1.v1.g002810.t1	C	C	C	B	C	C
EH23a.chr1.v1.g002970.t1	EH23b.chr1.v1.g002820.t1	C	C	C	C	C	C
EH23a.chr1.v1.g002980.t1	EH23b.chr1.v1.g002830.t1	C	C	C	C	C	C
EH23a.chr1.v1.g002990.t1	EH23b.chr1.v1.g002840.t1	C	C	C	C	C	C
EH23a.chr1.v1.g003020.t1	EH23b.chr1.v1.g002870.t1	C	C	C	C	C	C
EH23a.chr1.v1.g003030.t1	EH23b.chr1.v1.g002880.t1	C	C	C	C	C	C
EH23a.chr1.v1.g003060.t1	EH23b.chr1.v1.g002900.t1	C	C	C	B	A	C
EH23a.chr1.v1.g003070.t1	EH23b.chr1.v1.g002910.t1	C	C	C	C	C	C
EH23a.chr1.v1.g003080.t1	EH23b.chr1.v1.g002920.t1	C	C	C	B	C	C
EH23a.chr1.v1.g003090.t1	EH23b.chr1.v1.g002930.t1	C	C	C	B	C	C
EH23a.chr1.v1.g003120.t1	EH23b.chr1.v1.g002950.t1	C	C	C	C	C	C
EH23a.chr1.v1.g003130.t1	EH23b.chr1.v1.g002960.t1	C	C	C	C	C	C
EH23a.chr1.v1.g003140.t2	EH23b.chr1.v1.g002970.t2	C	C	C	C	C	C
EH23a.chr1.v1.g003150.t1	EH23b.chr1.v1.g003000.t1	C	C	C	C	A	C
EH23a.chr1.v1.g003160.t1	EH23b.chr1.v1.g003010.t1	A	C	C	C	C	A
EH23a.chr1.v1.g003180.t1	EH23b.chr1.v1.g003020.t1	C	C	C	C	C	C
EH23a.chr1.v1.g003190.t1	EH23b.chr1.v1.g003030.t1	C	C	C	C	C	C
EH23a.chr1.v1.g003200.t1	EH23b.chr1.v1.g003050.t1	C	C	C	C	C	C
EH23a.chr1.v1.g003250.t1	EH23b.chr1.v1.g003120.t1	C	C	C	C	C	C
EH23a.chr1.v1.g003260.t1	EH23b.chr1.v1.g003130.t1	C	C	C	C	B	C
EH23a.chr1.v1.g003270.t1	EH23b.chr1.v1.g003140.t1	C	C	C	C	C	C
EH23a.chr1.v1.g003280.t1	EH23b.chr1.v1.g003150.t1	C	C	C	C	C	C
EH23a.chr1.v1.g003290.t1	EH23b.chr1.v1.g003160.t1	C	C	C	C	A	C
EH23a.chr1.v1.g003300.t1	EH23b.chr1.v1.g003170.t1	C	C	C	C	B	C
EH23a.chr1.v1.g003310.t1	EH23b.chr1.v1.g003180.t1	C	C	C	C	A	C
EH23a.chr1.v1.g003340.t1	EH23b.chr1.v1.g003200.t1	C	C	C	C	C	C
EH23a.chr1.v1.g003350.t1	EH23b.chr1.v1.g003210.t1	C	C	C	C	C	C
EH23a.chr1.v1.g003360.t1	EH23b.chr1.v1.g003220.t1	C	C	C	C	B	C
EH23a.chr1.v1.g003370.t1	EH23b.chr1.v1.g003230.t1	C	C	C	C	A	C
EH23a.chr1.v1.g003380.t1	EH23b.chr1.v1.g003240.t1	C	C	C	C	C	C
EH23a.chr1.v1.g003400.t1	EH23b.chr1.v1.g003270.t1	C	C	C	C	C	C
EH23a.chr1.v1.g003410.t1	EH23b.chr1.v1.g003280.t1	C	C	C	C	C	C
EH23a.chr1.v1.g003420.t1	EH23b.chr1.v1.g003290.t1	B	C	C	C	C	C
EH23a.chr1.v1.g003430.t1	EH23b.chr1.v1.g003300.t1	C	C	C	C	C	C
EH23a.chr1.v1.g003460.t1	EH23b.chr1.v1.g003320.t1	C	C	C	C	C	C
EH23a.chr1.v1.g003470.t1	EH23b.chr1.v1.g003330.t1	C	C	C	C	C	C
EH23a.chr1.v1.g003480.t1	EH23b.chr1.v1.g003340.t1	C	C	C	B	C	C
EH23a.chr1.v1.g003490.t1	EH23b.chr1.v1.g003350.t1	C	C	C	C	C	C
EH23a.chr1.v1.g003500.t1	EH23b.chr1.v1.g003360.t1	C	A	A	A	C	A
EH23a.chr1.v1.g003510.t1	EH23b.chr1.v1.g003370.t1	C	C	C	C	C	C
EH23a.chr1.v1.g003520.t1	EH23b.chr1.v1.g003380.t1	C	C	C	C	C	C
EH23a.chr1.v1.g003530.t1	EH23b.chr1.v1.g003400.t1	C	C	C	C	C	C
EH23a.chr1.v1.g003540.t1	EH23b.chr1.v1.g003410.t1	C	C	C	C	C	C
EH23a.chr1.v1.g003590.t1	EH23b.chr1.v1.g003430.t1	C	C	C	C	C	C
EH23a.chr1.v1.g003600.t1	EH23b.chr1.v1.g003440.t1	C	C	C	C	C	C
EH23a.chr1.v1.g003620.t1	EH23b.chr1.v1.g003460.t1	C	C	C	B	A	C
EH23a.chr1.v1.g003630.t1	EH23b.chr1.v1.g003470.t1	C	C	C	C	C	C
EH23a.chr1.v1.g003640.t1	EH23b.chr1.v1.g003480.t1	C	C	C	A	C	C
EH23a.chr1.v1.g003650.t1	EH23b.chr1.v1.g003490.t1	C	C	C	C	C	C
EH23a.chr1.v1.g003660.t1	EH23b.chr1.v1.g003500.t1	C	C	C	C	C	C
EH23a.chr1.v1.g003670.t1	EH23b.chr1.v1.g003510.t1	C	C	C	C	C	C
EH23a.chr1.v1.g003680.t1	EH23b.chr1.v1.g003520.t1	C	C	C	C	C	C
EH23a.chr1.v1.g003690.t1	EH23b.chr1.v1.g003530.t1	C	C	C	C	C	C
EH23a.chr1.v1.g003710.t1	EH23b.chr1.v1.g003550.t1	A	C	C	C	C	C
EH23a.chr1.v1.g003750.t1	EH23b.chr1.v1.g003590.t1	C	C	C	C	C	C
EH23a.chr1.v1.g003760.t1	EH23b.chr1.v1.g003600.t1	C	C	C	C	C	A
EH23a.chr1.v1.g003770.t1	EH23b.chr1.v1.g003610.t1	C	C	C	C	C	C
EH23a.chr1.v1.g003780.t1	EH23b.chr1.v1.g003620.t1	C	C	C	C	C	C
EH23a.chr1.v1.g003790.t1	EH23b.chr1.v1.g003630.t1	A	A	A	A	C	A
EH23a.chr1.v1.g003800.t1	EH23b.chr1.v1.g003640.t1	C	B	C	C	C	C
EH23a.chr1.v1.g003810.t1	EH23b.chr1.v1.g003660.t1	C	C	C	C	C	C
EH23a.chr1.v1.g003830.t1	EH23b.chr1.v1.g003680.t1	A	A	A	A	C	A
EH23a.chr1.v1.g003840.t1	EH23b.chr1.v1.g003690.t1	B	B	C	A	B	B
EH23a.chr1.v1.g003850.t1	EH23b.chr1.v1.g003700.t1	C	C	C	C	C	C
EH23a.chr1.v1.g003860.t1	EH23b.chr1.v1.g003710.t1	C	C	C	C	C	C
